リファレンスID,機能名,機能説明,実装済み/未
FE-AUTH-001,"フロント: ユーザー登録","/register から POST /auth/register を実行し、成功時に access token を保持する","実装済み"
FE-AUTH-002,"フロント: ログイン","/login から POST /auth/login を実行し、成功時に access token を保持する","実装済み"
FE-AUTH-003,"フロント: 自動refresh（401リトライ）","401 時に user token 使用中のみ POST /auth/refresh を呼び出してリトライする","実装済み"
FE-AUTH-004,"フロント: ログアウト","POST /auth/logout を呼び出し、user token を削除する","実装済み"
FE-AUTH-005,"フロント: トークン保存","localStorage（key: keiba_dashboard_auth_v1）に user/service token とモードを保存する","実装済み"
FE-SCREEN-001,"フロント: Overview画面","/（Overview）で health 等の簡易表示と主要画面への導線を提供する","実装済み"
FE-SCREEN-002,"フロント: Venues画面","/venues で GET /venues の一覧表示を行う","実装済み"
FE-SCREEN-003,"フロント: Races一覧画面","/races で GET /races（race_date/baba_code）を検索し一覧表示する","実装済み"
FE-SCREEN-004,"フロント: Race詳細（概要）","/races/:raceId で GET /races/{race_id} を表示する","実装済み"
FE-SCREEN-005,"フロント: Race詳細（出走表）","/races/:raceId で GET /races/{race_id}/entries を表示する","実装済み"
FE-SCREEN-006,"フロント: Race詳細（オッズ）","/races/:raceId で GET /races/{race_id}/odds を snapshot_kind/bet_type 指定で表示する","実装済み"
FE-SCREEN-007,"フロント: Race詳細（成績）","/races/:raceId で GET /races/{race_id}/results を表示する","実装済み"
FE-SCREEN-008,"フロント: Race詳細（払戻）","/races/:raceId で GET /races/{race_id}/payouts を表示する","実装済み"
FE-SCREEN-009,"フロント: Today Races（出走表一覧）","/races/today で当日 race_entries をページング表示（斤量/馬体重/ジョッキー等）","実装済み"
FE-SCREEN-010,"フロント: Past Races（出走表一覧）","/races/past で任意日 race_entries をページング表示（斤量/馬体重/ジョッキー等）","実装済み"
FE-ADMIN-001,"フロント: OAuth client管理画面","/admin/oauth-clients で client 作成/ローテーション/revoke を実行できる","実装済み"
FE-ADMIN-002,"フロント: service token発行（client_credentials）","POST /auth/token を grant_type=client_credentials + client_id/client_secret で呼び出し token を取得する","実装済み"
FE-SCRAPE-001,"フロント: Scrape Console（/scrape/* 投入）","/scrape で /scrape/* 系のリクエストボディを手動編集して投入し、結果表示する","実装済み"
FE-SCRAPE-002,"フロント: Scrape Schedule参照/更新","GET/POST /scrape/schedule で enabled/baba_codes/snapshot_kinds/prefetch_days を参照・更新する（snapshot_kinds はUIで複数選択可）","実装済み"
FE-SCRAPE-003,"フロント: Sync状態/設定/手動同期","GET /scrape/sync/status、POST /scrape/sync/schedule、POST /scrape/sync を操作する","実装済み"
FE-SCRAPE-004,"フロント: 手動スクレイプ投入","POST /scrape/manual-tasks（baba_code 必須）を実行し task_id を表示する","実装済み"
FE-SETTINGS-001,"フロント: Settings（API base URL表示）","VITE_API_BASE_URL を表示して接続先を確認できる","実装済み"
FE-SETTINGS-002,"フロント: Settings（Service token管理）","service token の保存/クリアと、User/Service token mode 切替を提供する","実装済み"
FE-TEST-001,"フロント: 単体テスト（Vitest）","UI部品/ロジックの単体テストを Vitest で実行できる","実装済み"
FE-TEST-002,"フロント: E2E（モック）","Playwright で API を route stub し主要フローを検証する（tests/e2e）","実装済み"
FE-TEST-003,"フロント: system E2E（実環境）","reverse-proxy 経由で frontend→api→scraper の疎通を検証する（tests/system）","実装済み"
API-HEALTH-001,"API: ヘルスチェック","GET /health を提供する","実装済み"
API-AUTH-001,"API: ユーザー登録","POST /auth/register（user作成 + access/refresh 発行）","実装済み"
API-AUTH-002,"API: ログイン","POST /auth/login（access/refresh 発行）","実装済み"
API-AUTH-003,"API: リフレッシュ（ローテーション）","POST /auth/refresh（refresh token ローテーション）","実装済み"
API-AUTH-004,"API: ログアウト","POST /auth/logout（refresh cookie 失効/削除）","実装済み"
API-AUTH-005,"API: client_credentials token発行","POST /auth/token（service token 用）","実装済み"
API-ADMIN-001,"API: OAuth client管理","/admin/oauth-clients の CRUD と rotate-secret を提供する","実装済み"
API-VENUES-001,"API: 競馬場一覧","GET /venues を提供する","実装済み"
API-RACES-001,"API: レース一覧","GET /races（race_date/baba_code/paging）を提供する","実装済み"
API-RACES-002,"API: レース詳細","GET /races/{race_id} を提供する","実装済み"
API-RACES-003,"API: 出走表一覧","GET /races/{race_id}/entries を提供する","実装済み"
API-RACES-004,"API: オッズ参照","GET /races/{race_id}/odds を snapshot_kind/bet_type で提供する","実装済み"
API-RACES-005,"API: 成績一覧","GET /races/{race_id}/results を提供する","実装済み"
API-RACES-006,"API: 払戻一覧","GET /races/{race_id}/payouts を提供する","実装済み"
API-RACES-007,"API: 出走表一覧（日付/競馬場でページング）","GET /race-entries（race_date/baba_code/page/page_size）で出走表を一覧する","実装済み"
API-SCRAPE-001,"API: races upsert","POST /scrape/races（収集結果の upsert）","実装済み"
API-SCRAPE-002,"API: race-entries upsert","POST /scrape/race-entries（収集結果の upsert）","実装済み"
API-SCRAPE-003,"API: odds-snapshots upsert","POST /scrape/odds-snapshots（収集結果の upsert）","実装済み"
API-SCRAPE-004,"API: race-results upsert","POST /scrape/race-results（収集結果の upsert）","実装済み"
API-SCRAPE-005,"API: payouts upsert","POST /scrape/payouts（収集結果の upsert）","実装済み"
API-SCRAPE-006,"API: race-changes insert（将来予約）","POST /scrape/race-changes（非推奨/将来予約）","実装済み"
API-CONTROL-001,"API: 手動スクレイプ依頼","POST /scrape/manual-tasks を受理し scraper control（/control/scrape）へ転送する","実装済み"
API-CONTROL-002,"API: 定期実行スケジュール参照/更新","GET/POST /scrape/schedule を scraper control（/control/schedule）へ転送する（snapshot_kinds/prefetch_days 含む）","実装済み"
API-SYNC-001,"API: 手動同期開始","POST /scrape/sync（Pi→PC pull 同期）を開始する","実装済み"
API-SYNC-002,"API: 定期同期開始（cron起点）","POST /scrape/sync/scheduled を受理し実行可否を判定する","実装済み"
API-SYNC-003,"API: 同期スケジュール更新/状態参照","POST /scrape/sync/schedule / GET /scrape/sync/status を提供する","実装済み"
API-CRON-001,"API: api-sync-cron","cron コンテナが POST /scrape/sync/scheduled を定期実行する","実装済み"
API-TEST-001,"API: pytest テスト群","pytest によるテスト実行（単体/結合）","実装済み"
API-TEST-002,"API: system テスト（PC→Pi到達性）","SCRAPER_CONTROL_BASE_URL を前提に api→scraper control API 疎通を検証する","実装済み"
SCR-CTRL-001,"scraper: control API health","GET /health を提供する","実装済み"
SCR-CTRL-002,"scraper: schedule参照","GET /control/schedule を提供する","実装済み"
